sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 04, 2025 22:00:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	    2882(0)	     584(0)	    3319(0)	    16(0)	     4(0)	
 +led_button_axi4:axi4_lite_led_button                      	   137(137)	       0(0)	     75(75)	     0(0)	     0(0)	
 +u_soc:soc                                                 	    2745(0)	     584(0)	    3244(0)	    16(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_c738d0e3dbf04358be6fed819c809706	  2745(602)	    584(16)	  3244(393)	    16(0)	     4(0)	
   +bufferCC_6:BufferCC_c738d0e3dbf04358be6fed819c809706    	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +bufferCC_7:BufferCC_1_c738d0e3dbf04358be6fed819c809706  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_c738d0e3dbf04358be6fed819c809706	 1311(1244)	   335(335)	 1924(1880)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_c738d0e3dbf04358be6fed819c809706	     67(67)	       0(0)	     44(44)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_c738d0e3dbf04358be6fed819c809706	     83(74)	       0(0)	     47(45)	     0(0)	     0(0)	
    +flowCCByToggle_1:FlowCCByToggle_c738d0e3dbf04358be6fed819c809706	       9(7)	       0(0)	       2(2)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_4_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_c738d0e3dbf04358be6fed819c809706	     78(78)	       0(0)	     24(24)	     0(0)	     0(0)	
   +bufferCC_8:BufferCC_3_c738d0e3dbf04358be6fed819c809706  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_c738d0e3dbf04358be6fed819c809706	       3(0)	       0(0)	      74(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_c738d0e3dbf04358be6fed819c809706	       3(3)	       0(0)	     74(74)	     0(0)	     0(0)	
   +system_axiA_logic_bmbToAxiBridge:BmbToAxi4SharedBridge_c738d0e3dbf04358be6fed819c809706	     61(18)	       0(0)	     95(42)	     0(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_4_c738d0e3dbf04358be6fed819c809706	     26(26)	       0(0)	     29(29)	     0(0)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_4_c738d0e3dbf04358be6fed819c809706	     17(17)	       0(0)	     24(24)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_c738d0e3dbf04358be6fed819c809706	     13(13)	     15(15)	     71(71)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_c738d0e3dbf04358be6fed819c809706	       9(9)	     15(15)	     13(13)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_c738d0e3dbf04358be6fed819c809706	       3(3)	       0(0)	       2(2)	     8(8)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_c738d0e3dbf04358be6fed819c809706	     76(76)	       0(0)	   104(104)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_c738d0e3dbf04358be6fed819c809706	   165(165)	     63(63)	   141(141)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_c738d0e3dbf04358be6fed819c809706	    162(64)	      79(8)	    182(44)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_c738d0e3dbf04358be6fed819c809706   	     66(21)	     27(21)	    111(31)	     0(0)	     0(0)	
     +tx:UartCtrlTx_c738d0e3dbf04358be6fed819c809706        	     11(11)	       0(0)	     29(29)	     0(0)	     0(0)	
     +rx:UartCtrlRx_c738d0e3dbf04358be6fed819c809706        	     34(32)	       6(6)	     51(51)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_5_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_c738d0e3dbf04358be6fed819c809706	     16(16)	     22(22)	     12(12)	     1(1)	     0(0)	
    +system_uart_0_io_logic_uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_c738d0e3dbf04358be6fed819c809706	     16(16)	     22(22)	     15(15)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_c738d0e3dbf04358be6fed819c809706	   171(103)	      61(0)	    173(65)	     2(0)	     0(0)	
    +ctrl:TopLevel_c738d0e3dbf04358be6fed819c809706         	     32(32)	     11(11)	     75(75)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_c738d0e3dbf04358be6fed819c809706	     18(18)	     25(25)	     17(17)	     1(1)	     0(0)	
    +system_spi_0_io_logic_ctrl_io_rsp_queueWithOccupancy:StreamFifo_1_c738d0e3dbf04358be6fed819c809706	     18(18)	     25(25)	     16(16)	     1(1)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       1(1)	     0(0)	     0(0)	
